Incident ID ,Offence Code,CR Number,Dispatch Date / Time,NIBRS Code,Victims,Crime Name,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Name,Street Type,Start_Date_Time,End_Date_Time,Latitude,Longitude,Police District Number,Location
201319051,5016,210004862,02/07/2021 13:55,90Z,1,All Other Offenses,CITY OF TAKOMA PARK,7400 BLK  NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912,TPPD,Residence - Apartment/Condo,T,8T3,806,7400,NEW HAMPSHIRE,AVE,02/07/2021 14:00,02/07/2021 14:00,38.98337269,-76.98839216,8D,"(38.9834, -76.9884)"
201319042,2308,210004848,02/07/2021 11:30,23D,1,Theft from Building,GERMANTOWN,19500 BLK  FREDERICK RD,GERMANTOWN,MD,20876,MCPD,Rental Storage Facility,M,5M1,469,19500,FREDERICK,RD,09/17/2020 04:53:00 PM,09/26/2020 02:19:00 PM,39.1754647,-77.23811713,5D,"(39.1755, -77.2381)"
201319093,2404,210004906,02/07/2021 23:01,240,1,Motor Vehicle Theft,CITY OF TAKOMA PARK,8600 BLK  FLOWER AVE,TAKOMA PARK,MD,20912,TPPD,Parking Lot - Commercial,T,8T2,803,8600,FLOWER,AVE,02/07/2021 16:46,02/07/2021 23:01,38.99645531,-77.00313103,8D,"(38.9965, -77.0031)"
201319178,2305,210005004,02/08/2021 12:59,23F,1,Theft From Motor Vehicle,CITY OF TAKOMA PARK,7000 BLK  ASPEN AVE,TAKOMA PARK,MD,20912,TPPD,Residence - Driveway,T,8T3,808,7000,ASPEN,AVE,02/07/2021 23:00,02/08/2021 12:59,38.97859624,-77.00036446,8D,"(38.9786, -77.0004)"
201319197,2303,210005057,02/08/2021 18:09,23C,1,Shoplifting,CITY OF TAKOMA PARK,1300 BLK  UNIVERSITY BLV E,,MD,20912,TPPD,Convenience Store,T,8T3,807,1300,UNIVERSITY,BLV,02/08/2021 18:00,02/08/2021 18:10,39.03656864,-77.03090986,8D,"(39.0366, -77.0309)"
201336142,1399,210024630,06/27/2021 11:17:53 AM,13B,1,Simple Assault,WHEATON,,SILVER SPRING,MD,20901,MCPD,Street - In vehicle,L,4L2,163,,UNIVERSITY,BLV,06/27/2021 11:15:00 AM,,0,0,4D,"(0.0, 0.0)"
201336631,5213,210025225,07/01/2021 10:32,520,1,Weapon Law Violations,SILVER SPRING,4000 BLK  BLACKBURN LA,BURTONSVILLE,MD,20866,MCPD,Parking Lot - Commercial,I,3I2,381,4000,BLACKBURN,LA,07/01/2021 10:32,,0,0,3D,"(0.0, 0.0)"
201310983,2308,200046948,11/28/2020 01:10:04 PM,23D,1,Theft from Building,BETHESDA,4800 BLK  HAMPDEN LA,BETHESDA,MD,20814,MCPD,Residence - Apartment/Condo,D,2D2,33,4800,HAMPDEN,LA,11/20/2020 12:00:00 AM,11/27/2020 12:00:00 AM,0,0,2D,"(0.0, 0.0)"
201319268,1316,210005122,02/09/2021 9:58,13C,1,Intimidation,SILVER SPRING,900 BLK  MERRIMAC DR,TAKOMA PARK,MD,20912,TPPD,Convenience Store,H,3H1,130,900,MERRIMAC,DR,02/05/2021 11:08,02/09/2021 9:58,38.99243276,-76.99284888,3D,"(38.9924, -76.9928)"
201363464,9108,220005468,02/08/2022 13:08,90Z,1,All Other Offenses,BETHESDA,4500 BLK  SLEAFORD RD,BETHESDA,MD,20814,MCPD,Residence - Single Family,D,2D2,46,4500,SLEAFORD,RD,02/08/2022 13:08,,38.98821,-77.0883,2D,"(38.9882, -77.0883)"
201319296,2305,210005139,02/09/2021 11:40,23F,1,Theft From Motor Vehicle,CITY OF TAKOMA PARK,7600 BLK  NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912,TPPD,Parking Lot - Commercial,T,8T3,807,7600,NEW HAMPSHIRE,AVE,02/09/2021 10:38,02/09/2021 11:40,38.98590052,-76.9881402,8D,"(38.9859, -76.9881)"
201319299,2608,210005162,02/09/2021 14:14,26E,1,Wire Fraud,CITY OF TAKOMA PARK,7000 BLK  CARROLL AVE,TAKOMA PARK,MD,20912,TPPD,Residence - Apartment/Condo,T,8T1,801,7000,CARROLL,AVE,02/04/2021 12:00,02/05/2021 10:00,38.97464633,-77.01218274,8D,"(38.9746, -77.0122)"
201319401,2303,210005278,02/10/2021 8:40,23C,1,Shoplifting,CITY OF TAKOMA PARK,1300 BLK  UNIVERSITY BLV E,,MD,20912,TPPD,Retail - Drug Store/Pharmacy,T,8T3,807,1300,UNIVERSITY,BLV,02/10/2021 8:40,02/10/2021 8:40,39.03656864,-77.03090986,8D,"(39.0366, -77.0309)"
201324751,2303,210010949,03/23/2021 02:17:49 PM,23C,1,Shoplifting,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902,MCPD,Retail - Department/Discount Store,L,4L2,321,11100,VEIRS MILL,RD,03/23/2021 02:17:00 PM,,39.0373839,-77.05168232,4D,"(39.0374, -77.0517)"
201359330,9113,220000328,01/03/2022 19:47,90Z,1,All Other Offenses,SILVER SPRING,8700 BLK  GEORGIA AVE,SILVER SPRING,MD,20910,MCPD,Residence - Apartment/Condo,G,3G1,95,8700,GEORGIA,AVE,01/03/2022 19:47,,38.9974,-77.0301,3D,"(38.9974, -77.0301)"
201330282,2308,210017619,05/10/2021 19:32,23D,1,Theft from Building,BETHESDA,11200 BLK  EMPIRE LA,ROCKVILLE,MD,20852,MCPD,Residence - Single Family,D,2D4,189,11200,EMPIRE,LA,04/19/2021 01:00:00 PM,05/08/2021 12:00,39.04063795,-77.11942884,2D,"(39.0406, -77.1194)"
201330301,2308,210017632,05/10/2021 21:09,23D,1,Theft from Building,GERMANTOWN,10500 BLK  TRALEE TER,DAMASCUS,MD,20872,MCPD,Residence -Townhouse/Duplex,M,5M2,481,10500,TRALEE,TER,05/10/2021 21:09,,39.26873168,-77.21511799,5D,"(39.2687, -77.2151)"
201319867,2305,210005837,02/14/2021 05:20:09 PM,23F,1,Theft From Motor Vehicle,CITY OF TAKOMA PARK,1000 BLK  LARCH AVE,TAKOMA PARK,MD,20912,TPPD,Street - Residential,T,8T3,808,1000,LARCH,AVE,02/12/2021 15:30,02/14/2021 05:20:00 PM,38.97767305,-76.99185003,8D,"(38.9777, -76.9919)"
201319899,1399,210005870,02/14/2021 11:14:58 PM,13B,1,Simple Assault,CITY OF TAKOMA PARK,100 BLK  LEE AVE,TAKOMA PARK,MD,20912,TPPD,Residence - Apt Ofc/Storage,T,8T2,804,100,LEE,AVE,02/14/2021 11:14:00 PM,,38.98018444,-77.0067237,8D,"(38.9802, -77.0067)"
201319940,2299,210005920,02/15/2021 12:03:00 PM,220,1,Burglary/Breaking and Entering,CITY OF TAKOMA PARK,7500 BLK  MAPLE AVE,TAKOMA PARK,MD,20912,TPPD,Residence - Apt Ofc/Storage,T,8T2,804,7500,MAPLE,AVE,02/14/2021 05:00:00 PM,02/15/2021 12:03:00 PM,38.98103947,-77.01029215,8D,"(38.981, -77.0103)"
201319966,2305,210005972,02/15/2021 05:43:18 PM,23F,1,Theft From Motor Vehicle,CITY OF TAKOMA PARK,1000 BLK  HOPEWELL AVE,TAKOMA PARK,MD,20912,TPPD,Residence - Single Family,T,8T3,808,1000,HOPEWELL,AVE,02/14/2021 05:43:00 PM,02/15/2021 05:45:00 PM,38.97623705,-76.99152156,8D,"(38.9762, -76.9915)"
201320020,2308,210006023,02/16/2021 10:03:41 AM,23D,1,Theft from Building,CITY OF TAKOMA PARK,7600 BLK  MAPLE AVE,TAKOMA PARK,MD,20912,TPPD,Parking Lot - Residential,T,8T2,804,7600,MAPLE,AVE,02/15/2021 04:00:00 PM,02/16/2021 07:00:00 AM,38.98266514,-77.00746005,8D,"(38.9827, -77.0075)"
201330477,2305,210017845,05/12/2021 11:33,23F,1,Theft From Motor Vehicle,MONTGOMERY VILLAGE,,GAITHERSBURG,MD,20878,MCPD,Street - Residential,P,6P1,553,,DARNESTOWN,RD,05/12/2021 10:00,05/12/2021 11:10,39.10829225,-77.23626278,6D,"(39.1083, -77.2363)"
201363467,9199,210043095,10/26/2021 10:46:58 AM,90Z,1,All Other Offenses,SILVER SPRING,10100 BLK  DALLAS AVE,SILVER SPRING,MD,20901,MCPD,Residence - Single Family,H,3H2,160,10100,DALLAS,AVE,07/11/2021 14:31,,39.02145,-77.0226,3D,"(39.0215, -77.0226)"
201348955,2404,210040853,10/12/2021 16:01,240,1,Motor Vehicle Theft,BETHESDA,10600 BLK  STABLE LA,POTOMAC,MD,20854,MCPD,Street - Residential,E,2.00E+04,214,10600,STABLE,LA,10/11/2021 15:00,10/12/2021 15:30,0,0,2D,"(0.0, 0.0)"
201330563,1399,210017930,05/12/2021 20:57,13B,1,Simple Assault,SILVER SPRING,,BURTONSVILLE,MD,20866,MCPD,Parking Lot - Park & Ride,I,3I2,381,,GREENCASTLE,RD,05/12/2021 20:57,,39.09225664,-76.9311468,3D,"(39.0923, -76.9311)"
201330563,2399,210017930,05/12/2021 20:57,23H,1,All other Larceny,SILVER SPRING,,BURTONSVILLE,MD,20866,MCPD,Parking Lot - Park & Ride,I,3I2,381,,GREENCASTLE,RD,05/12/2021 20:57,,39.09225664,-76.9311468,3D,"(39.0923, -76.9311)"
